iter	Passed	Remaining
539	7101	2104
540	7114	2090
541	7128	2077
542	7141	2064
543	7154	2051
544	7167	2038
545	7180	2025
546	7193	2011
547	7206	1998
548	7219	1985
549	7232	1972
550	7247	1959
551	7260	1946
552	7273	1933
553	7286	1920
554	7299	1907
555	7313	1894
556	7327	1881
557	7340	1868
558	7353	1854
559	7366	1841
560	7380	1828
561	7392	1815
562	7407	1802
563	7419	1789
564	7432	1775
565	7445	1762
566	7458	1749
567	7472	1736
568	7485	1723
569	7498	1710
570	7511	1696
571	7524	1683
572	7538	1670
573	7552	1657
574	7566	1644
575	7579	1631
576	7592	1618
577	7606	1605
578	7618	1592
579	7631	1578
580	7644	1565
581	7657	1552
582	7671	1539
583	7684	1526
584	7698	1513
585	7711	1500
586	7724	1487
587	7742	1474
588	7754	1461
589	7768	1448
590	7781	1435
591	7794	1421
592	7807	1408
593	7820	1395
594	7833	1382
595	7846	1369
596	7860	1356
597	7872	1342
598	7886	1329
599	7900	1316
600	7914	1303
601	7928	1290
602	7941	1277
603	7954	1264
604	7969	1251
605	7981	1238
606	7994	1224
607	8007	1211
608	8020	1198
609	8033	1185
610	8047	1172
611	8060	1158
612	8073	1145
613	8086	1132
614	8099	1119
615	8112	1106
616	8126	1093
617	8139	1080
618	8152	1066
619	8166	1053
620	8178	1040
621	8191	1027
622	8205	1014
623	8218	1000
624	8231	987
625	8244	974
626	8257	961
627	8270	948
628	8284	935
629	8297	921
630	8310	908
631	8323	895
632	8336	882
633	8349	869
634	8362	855
635	8374	842
636	8388	829
637	8401	816
638	8414	803
639	8427	790
640	8440	776
641	8454	763
642	8467	750
643	8480	737
644	8493	724
645	8506	711
646	8519	697
647	8532	684
648	8545	671
649	8559	658
650	8572	645
651	8585	632
652	8598	618
653	8611	605
654	8624	592
655	8637	579
656	8650	566
657	8664	553
658	8677	539
659	8690	526
660	8703	513
661	8717	500
662	8730	487
663	8743	474
664	8757	460
665	8770	447
666	8783	434
667	8796	421
668	8809	408
669	8821	395
670	8835	381
671	8848	368
672	8862	355
673	8876	342
674	8889	329
675	8902	316
676	8916	302
677	8929	289
678	8942	276
679	8955	263
680	8968	250
681	8981	237
682	8994	223
683	9007	210
684	9020	197
685	9033	184
686	9046	171
687	9059	158
688	9073	144
689	9086	131
690	9099	118
691	9112	105
692	9126	92
693	9139	79
694	9153	65
695	9165	52
696	9178	39
697	9191	26
698	9204	13
699	9216	0
